"DownTime","EventTime","Keypress","WindowSize","XminA","YminA","ZminA","XminG","YminG","ZminG","XminO","YminO","ZminO","XmaxA","YmaxA","ZmaxA","XmaxG","YmaxG","ZmaxG","XmaxO","YmaxO","ZmaxO","XmeanA","YmeanA","ZmeanA","XmeanG","YmeanG","ZmeanG","XmeanO","YmeanO","ZmeanO","XmedianA","YmedianA","ZmedianA","XmedianG","YmedianG","ZmedianG","XmedianO","YmedianO","ZmedianO","XsdA","YsdA","ZsdA","XsdG","YsdG","ZsdG","XsdO","YsdO","ZsdO","XvarA","YvarA","ZvarA","XvarG","YvarG","ZvarG","XvarO","YvarO","ZvarO","XskewA","YskewA","ZskewA","XskewG","YskewG","ZskewG","XskewO","YskewO","ZskewO","XrmsA","YrmsA","ZrmsA","XrmsG","YrmsG","ZrmsG","MagnRmsA","MagnRmsG","MagnRmsO","TotalTime"
1482277329537,1482277329618,"KEYCODE_3",17,-0.49534035,-0.34173578,-1.247808,-0.0982666,-0.20381165,-0.032058716,163.88678,7.465735,-70.63568,0.34700966,0.43850747,1.043282,0.14729309,0.20098877,0.02279663,164.14423,8.047348,-70.00651,0.0106192751176471,0.0514735476764706,-0.0415781858823529,0.0637216012588235,0.0388354128058824,-0.00838874374705882,163.998025882353,7.75053874705882,-70.2422802352941,0.038778305,0.04762569,0.1986146,0.08097839,0.05331421,-0.007003784,163.96753,7.688154,-70.20371,0.260883526421698,0.258599685096914,0.790908323069513,0.0769136226795678,0.138243358604679,0.0183031150840739,0.088684546642782,0.225348124601843,0.211629932171564,0.0680602143582208,0.0668737971322233,0.62553597550063,0.00591570535369492,0.0191112261983019,0.000335004021780854,163.998048450625,7.75362144314213,70.2425802867388,-0.323811513918699,0.0446387745023187,-0.911076968883695,-0.67309748806413,-0.314202374861014,-0.227003940153977,1.03160754068374,0.830511642851009,-0.546759641677462,0.25331687930569,0.256104608451588,0.768419473457641,0.0981232141382406,0.139625304689854,0.0196384552474574,0.848662181907639,0.171782012408342,178.576310373006,81
1482277330087,1482277330152,"KEYCODE_9",13,-0.2896986,-0.19961846,-0.50999093,-0.04057312,-0.1084137,-0.03149414,164.43787,7.976909,-70.75362,0.27459335,0.2864528,0.67307115,0.077056885,0.02571106,0.017532349,164.6424,8.336545,-70.64391,0.015589567,0.0391956654615385,0.0322551347692308,0.0251863918692308,-0.0144336409615385,-0.00117610049230769,164.548193846154,8.15176744615385,-70.6796136923077,-0.012661934,-0.018395543,0.001455307,0.032546997,-0.0058288574,0.008010864,164.54156,8.120324,-70.66365,0.160869781134328,0.169207446984057,0.422198330288766,0.040494887647129,0.0349661924436536,0.0173083185189244,0.0843528628775641,0.135385119071039,0.0344530710590131,0.0258790864822067,0.0286311601148625,0.178251430098622,0.0016398359255536,0.00122263461400662,0.000299577889952542,164.548213804034,8.15280514261973,70.6796214435192,0.5268516088129,1.02107577688879,0.218853265583725,-0.545298843269497,-0.738265990104986,-1.59234956571829,0.235931985976882,0.696755589600956,-1.39003796906955,0.155342917834333,0.167227579585195,0.406915440046797,0.0463470499158411,0.0365638590544156,0.016670832290179,0.466558314515651,0.0613423301978325,179.271279867107,65
1482277330603,1482277330668,"KEYCODE_8",13,-0.7282057,-0.65710026,-0.72605467,-0.043060303,-0.10331726,-0.0209198,164.68225,8.356747,-70.95257,0.36219692,0.35139543,1.2003477,0.10900879,0.12782288,0.051757813,165.09033,9.097388,-70.66768,0.00275142353846154,0.0390428473230769,0.254581166307692,0.0440662090076923,0.0347008336923077,0.0274317814615385,164.875829230769,8.67427365384615,-70.7931,0.014174461,0.09965941,0.41460156,0.051864624,0.06387329,0.03135681,164.85834,8.600407,-70.77851,0.32919600630838,0.266391212296006,0.704387454759913,0.0518685025676446,0.0885316718152322,0.0240262706533179,0.16784858630432,0.290358820673905,0.102165475965874,0.108370010569387,0.0709642779885356,0.496161686423149,0.00269034155860976,0.00783785691439998,0.000577261681506484,164.875908096109,8.67875834534855,70.7931680495228,-0.104099417149409,-0.682641467274466,-0.681529998629163,-0.451049168932764,-0.988543050511097,-0.490092107314147,0.312589420399165,0.763193489435378,-0.428422611319459,0.316293259873952,0.258901199883519,0.723053921288532,0.0665223495094475,0.091864534522321,0.035851911677466,0.830589086512422,0.118952407534226,179.641472270246,65
1482277331137,1482277331202,"KEYCODE_2",13,-0.47870922,-0.22165933,-0.43657422,-0.061050415,-0.17054749,-0.018951416,164.6466,8.594417,-71.157776,0.31207466,0.2403262,0.97306275,0.09971619,0.0743866,0.043395996,165.10089,9.3361,-70.80151,0.0174736598461538,0.044721867,0.188451823846154,0.0379380452307692,-0.0346527106846154,0.0207449105230769,164.869326153846,8.92119188461538,-70.9051941538462,0.108288765,0.07773575,0.1407361,0.04762268,-0.029724121,0.027740479,164.85266,8.880939,-70.8742,0.246059456534703,0.160393701624598,0.464519371673496,0.052016569233373,0.0839353021448073,0.02059422698029,0.182756893145803,0.287259410315119,0.1115379788606,0.0605452561501535,0.0257261395208407,0.215778246659939,0.00270572347481028,0.0070451349461401,0.000424122184915703,164.869419654672,8.92545993632145,70.9052751333554,-1.107233671481,-0.617490886467644,0.308161898658292,-0.558550952819314,-0.176156738297521,-1.01905769276287,0.2735790736965,0.42038189006126,-0.833639469607603,0.237051170725662,0.160459499873055,0.484452278253217,0.0627446107307773,0.0877725005143204,0.0286679039008979,0.562702868791914,0.111636672900818,179.691812317868,65
1482277331670,1482277331761,"KEYCODE_7",18,-0.31443882,-0.21878573,-0.7523825,-0.11973572,-0.10713196,0.02217102,164.07886,7.3009396,-71.27488,0.16652107,0.25266227,1.0466149,0.06677246,0.14585876,0.039001465,164.23718,7.5724554,-71.054085,0.00287633438333333,-0.0833583341666667,0.216358173222222,-0.0501861572755556,0.0315712814333333,0.0316916575,164.128563333333,7.42754610555556,-71.146606,0.0217967035,-0.130919995,0.229471205,-0.064102173,0.0151138305,0.033752442,164.11572,7.40450265,-71.1377145,0.107462921530474,0.133511760494173,0.431265888627783,0.0588032841657754,0.0863794949442831,0.00524398144752732,0.0451984991942427,0.0950188841968267,0.063187958259931,0.0115482795038648,0.0178253901902534,0.185990266693912,0.00345782622868093,0.00746141714682943,2.74993414220107e-05,164.128569211072,7.42812009530444,71.1466325009106,-0.528192482966359,1.0687072207862,-0.0912177298754229,0.709961148694336,0.571574918698545,-1.17894267206364,0.852461933179216,0.727543448347267,-0.422145306393414,0.1044747898768,0.154219657016481,0.471665488688607,0.0760550797357993,0.0896863411191933,0.0320987967894313,0.507116374760217,0.121894822253844,179.039681399525,91
1482277332170,1482277332236,"KEYCODE_5",13,-0.38352013,-0.23271453,-0.5133374,-0.038131714,-0.15641785,-0.018295288,165.2077,8.952178,-71.31571,0.28967285,0.21894768,0.845417,0.08604431,0.07449341,0.019348145,165.54944,9.470455,-71.06164,0.00289337376153846,0.0920728386923077,0.215752851076923,0.0331291785230769,-0.0190993089846154,0.0046597995,165.387586923077,9.19398534615385,-71.1407764615385,0.002439499,0.1388359,0.35033822,0.041000366,-0.016052246,0.0070343018,165.40009,9.184921,-71.119354,0.184354790995361,0.130235019642172,0.495665216799087,0.0421200773808466,0.070602637928988,0.0128618521123434,0.132920285283112,0.201038317347442,0.0740453030387649,0.0339866889629433,0.016961160341197,0.245684007144486,0.00177410091856851,0.00498473248253178,0.000165427239759793,165.387636227678,9.19601402761542,71.1408120315674,0.00738589041957498,-1.07720015943891,-0.814574218817717,-0.560624858716597,-0.129473759366333,-0.553847675885157,-0.282193426604173,0.135262962903464,-0.867946810640309,0.177145984671429,0.155350775100822,0.522814049267961,0.0522988918310327,0.0704703847444218,0.013206657368569,0.573453654031081,0.088744943583461,180.273825131342,66
1482277332688,1482277332753,"KEYCODE_0",14,-0.2622013,-0.24640164,-0.5207517,-0.047286987,-0.14993286,-0.034988403,164.94019,8.710885,-72.11385,0.27004337,0.39990896,0.6852877,0.09423828,0.0071258545,0.008834839,165.28955,9.30718,-71.75442,0.0432304652642857,0.100566610214286,0.0689717877142857,0.0449414934142857,-0.0616825646071429,-0.0106440951928571,165.088955714286,8.96984828571428,-71.8546261428571,0.039443493,0.081742198,0.039627194,0.0557861315,-0.0538864135,-0.00826263415,165.032805,8.895503,-71.80568,0.145084553781796,0.191620505857298,0.445086973916031,0.0449117120978446,0.0479771254506234,0.0153499528637583,0.139947003030227,0.236315029486043,0.113840149635597,0.0210495277460629,0.0367184182650069,0.198102414349729,0.00201706188355968,0.00230180456650485,0.000235621052919601,165.089010794349,8.97273838625062,71.8547098805999,0.0783054880531507,0.294713952403994,0.197790064194207,-0.724397105731897,-0.487491759911695,-0.465433554876871,1.2036852466268,0.94380733052795,-1.28986503480076,0.146338180858183,0.210260117933033,0.434406893818091,0.0623916970841496,0.0770852043593711,0.018223274683373,0.504314911307188,0.100831246825337,180.271991310991,65
1482277333280,1482277333372,"KEYCODE_4",18,-0.110919,-0.19441897,-0.249192,-0.09744263,-0.13676453,-0.021087646,163.8678,7.2498155,-71.1515,0.100979805,0.03682533,0.28384018,0.047943115,0.07447815,0.002746582,164.33789,7.8425355,-70.99801,-0.0188244184444444,-0.0632506349111111,0.118581493538889,-0.04107242173,0.0051294961,-0.0141703287555556,164.064848888889,7.50266842222222,-71.038047,-0.029232502,-0.068619208,0.110100985,-0.05003357,0.024673462,-0.01701355,164.022855,7.45434375,-71.02278,0.0567032066503619,0.0571542452538708,0.137610908117061,0.0491554087341079,0.0628790926815118,0.00693576110682865,0.169943934349602,0.22646035771017,0.0419257685285063,0.00321525364443365,0.00326660775053961,0.0189367620328021,0.00241625420781722,0.00395378029645015,4.8104782130997e-05,164.064932015888,7.50589559080072,71.0380586846965,0.550661109153822,0.281793927907322,0.184880152051787,0.546907156350144,-0.932454575910881,1.22980933194706,0.74131311099062,0.640173927713255,-1.09243077962523,0.058232183298728,0.0841770298765344,0.178735252000158,0.0629996959493096,0.0613224067187204,0.0156917338517882,0.205968565169862,0.08930638144476,178.941460169767,92
1482277333831,1482277333879,"KEYCODE_6",10,-0.33011532,-0.2106218,-0.5646496,-0.014755249,-0.06300354,0.010971069,164.49023,7.9753523,-71.094025,0.19254208,0.07152563,0.5462258,0.07745361,0.06715393,0.037612915,164.73291,8.310716,-70.932785,0.02433900952,-0.00845541057,-0.0876915703,0.047676086,0.0048034667,0.026863098,164.618805,8.13103827,-71.003707,0.0465416915,0.009881511,-0.1846761715,0.05797577,0.0078201295,0.0284042355,164.636415,8.1275915,-70.98135,0.152032078489827,0.0773627393942107,0.426140238639642,0.030073449242227,0.0473317723233719,0.00922954598541541,0.0872077157965117,0.116369459681902,0.0647392022399631,0.0231137528899368,0.00598499344657655,0.181595502987851,0.000904412349324804,0.00224029667127152,8.51845190968978e-05,164.618825789444,8.13178768870883,71.0037335623256,-0.43811836687122,-0.71107570829009,0.682765383829523,-1.02745287882089,-0.191203243735946,-0.500936070669776,-0.605795020743851,0.0888575922605485,-1.03601832706236,0.146269494377187,0.073878197526917,0.413673499502622,0.0555606001647905,0.0451590555313369,0.0282540634483752,0.444947769121197,0.0769715056920345,179.463127006912,48
1482277334347,1482277334463,"KEYCODE_1",23,-0.11493969,-0.13816294,-0.32052135,-0.04597473,-0.07385254,0.001739502,163.96973,7.2215166,-71.35987,0.18805599,0.028103203,0.3932774,0.04777527,0.035446167,0.020965576,164.04779,7.3504105,-71.27233,-0.014129804705913,-0.0447514274956522,0.0904995153478261,-0.00937088665217391,0.00749803619565217,0.010640019926087,164.003688695652,7.28577360869565,-71.3125309565217,-0.031822205,-0.04456964,0.11717558,-0.014465332,0.008728027,0.009643555,163.99854,7.2888026,-71.30974,0.0733322903392149,0.0441645499559759,0.170109018992816,0.0300282559858162,0.0260624494959529,0.00728039549896848,0.0273829409909225,0.0456410395026322,0.0250926375320768,0.00537762480639491,0.00195050747281389,0.0289370783426982,0.000901696157549709,0.000679251273729094,5.30041586214006e-05,164.003690882263,7.28591034887835,71.3125351792352,0.723790306244908,-0.012348421697949,-0.470452386536316,0.508965157706704,-0.141581949678847,0.410608843803117,0.56407699091588,-0.199096558975638,-0.333678337102014,0.0730990178677598,0.0621964071549271,0.189391411579044,0.0308270253744108,0.0265695155478083,0.0128027205707699,0.212322787887017,0.0426632664465933,178.985398248869,116
