DownTime,EventTime,Keypress
13324994000000,13325060000000,KEYCODE_4
13325594000000,13325635000000,KEYCODE_2
13326094000000,13326126000000,KEYCODE_8
13326568000000,13326651000000,KEYCODE_0
13327059000000,13327134000000,KEYCODE_6
13327600000000,13327666000000,KEYCODE_1
13328141000000,13328216000000,KEYCODE_5
13328699000000,13328790000000,KEYCODE_7
13329199000000,13329315000000,KEYCODE_9
13329756000000,13329831000000,KEYCODE_3
13330289000000,13330363000000,KEYCODE_5
13330780000000,13330846000000,KEYCODE_8
13331321000000,13331421000000,KEYCODE_1
13332021000000,13332112000000,KEYCODE_9
13332529000000,13332570000000,KEYCODE_6
13333087000000,13333161000000,KEYCODE_3
13333678000000,13333752000000,KEYCODE_4
13334261000000,13334368000000,KEYCODE_0
13334868000000,13334951000000,KEYCODE_7
13335443000000,13335525000000,KEYCODE_2
13335959000000,13336050000000,KEYCODE_4
13336525000000,13336616000000,KEYCODE_7
13337058000000,13337157000000,KEYCODE_8
13337599000000,13337665000000,KEYCODE_5
13338182000000,13338298000000,KEYCODE_0
13338782000000,13338847000000,KEYCODE_3
13339356000000,13339455000000,KEYCODE_2
13339931000000,13340013000000,KEYCODE_1
13340463000000,13340554000000,KEYCODE_6
13340988000000,13341029000000,KEYCODE_9
13341629000000,13341737000000,KEYCODE_0
13342220000000,13342319000000,KEYCODE_7
13342761000000,13342836000000,KEYCODE_9
13343269000000,13343352000000,KEYCODE_5
13343802000000,13343885000000,KEYCODE_6
13344368000000,13344443000000,KEYCODE_2
13344910000000,13344984000000,KEYCODE_8
13345467000000,13345542000000,KEYCODE_4
13346009000000,13346075000000,KEYCODE_3
13346567000000,13346625000000,KEYCODE_1
13347092000000,13347175000000,KEYCODE_3
13347700000000,13347775000000,KEYCODE_2
13348234000000,13348316000000,KEYCODE_9
13348750000000,13348841000000,KEYCODE_8
13349266000000,13349374000000,KEYCODE_4
13349916000000,13350040000000,KEYCODE_0
13350482000000,13350540000000,KEYCODE_5
13351032000000,13351123000000,KEYCODE_1
13351598000000,13351714000000,KEYCODE_7
13352131000000,13352197000000,KEYCODE_6
13352664000000,13352739000000,KEYCODE_5
13353214000000,13353263000000,KEYCODE_2
13353972000000,13354030000000,KEYCODE_0
13354505000000,13354579000000,KEYCODE_9
13355038000000,13355137000000,KEYCODE_1
13355712000000,13355795000000,KEYCODE_8
13356304000000,13356403000000,KEYCODE_7
13356862000000,13356929000000,KEYCODE_3
13357346000000,13357437000000,KEYCODE_6
13357896000000,13357995000000,KEYCODE_4
13358513000000,13358587000000,KEYCODE_0
13359054000000,13359129000000,KEYCODE_4
13359571000000,13359671000000,KEYCODE_7
13360096000000,13360171000000,KEYCODE_9
13360697000000,13360771000000,KEYCODE_2
13361288000000,13361363000000,KEYCODE_6
13361830000000,13361913000000,KEYCODE_3
13362355000000,13362446000000,KEYCODE_5
13362922000000,13363005000000,KEYCODE_1
13363397000000,13363479000000,KEYCODE_8
13363930000000,13363979000000,KEYCODE_2
13364422000000,13364529000000,KEYCODE_4
13364972000000,13365055000000,KEYCODE_7
13365530000000,13365605000000,KEYCODE_1
13366172000000,13366222000000,KEYCODE_0
13366664000000,13366730000000,KEYCODE_3
13367148000000,13367214000000,KEYCODE_5
13367656000000,13367730000000,KEYCODE_8
13368173000000,13368247000000,KEYCODE_9
13368665000000,13368722000000,KEYCODE_6
13369215000000,13369289000000,KEYCODE_8
13369757000000,13369831000000,KEYCODE_9
13370340000000,13370406000000,KEYCODE_3
13370874000000,13370898000000,KEYCODE_6
13371399000000,13371498000000,KEYCODE_7
13372057000000,13372149000000,KEYCODE_0
13372583000000,13372657000000,KEYCODE_5
13373099000000,13373166000000,KEYCODE_4
13373641000000,13373724000000,KEYCODE_2
13374275000000,13374349000000,KEYCODE_1
13374817000000,13374883000000,KEYCODE_4
13375392000000,13375483000000,KEYCODE_1
13375950000000,13376058000000,KEYCODE_7
13376542000000,13376633000000,KEYCODE_2
13377067000000,13377158000000,KEYCODE_9
13377592000000,13377650000000,KEYCODE_5
13378267000000,13378325000000,KEYCODE_0
13378809000000,13378891000000,KEYCODE_8
13379325000000,13379383000000,KEYCODE_6
13379817000000,13379891000000,KEYCODE_3
13380342000000,13380416000000,KEYCODE_8
13380916000000,13381007000000,KEYCODE_0
13381500000000,13381566000000,KEYCODE_3
13382024000000,13382132000000,KEYCODE_4
13382591000000,13382665000000,KEYCODE_5
13383082000000,13383173000000,KEYCODE_7
13383657000000,13383732000000,KEYCODE_6
13384190000000,13384273000000,KEYCODE_1
13384740000000,13384806000000,KEYCODE_9
13385265000000,13385331000000,KEYCODE_2
13385790000000,13385856000000,KEYCODE_6
13386315000000,13386381000000,KEYCODE_2
13386781000000,13386839000000,KEYCODE_5
13387398000000,13387480000000,KEYCODE_0
13387922000000,13387980000000,KEYCODE_3
13388464000000,13388547000000,KEYCODE_1
13389131000000,13389213000000,KEYCODE_8
13389730000000,13389813000000,KEYCODE_7
13390222000000,13390329000000,KEYCODE_4
13390772000000,13390863000000,KEYCODE_9
13391305000000,13391404000000,KEYCODE_7
13391863000000,13391929000000,KEYCODE_5
13392480000000,13392571000000,KEYCODE_0
13393046000000,13393137000000,KEYCODE_1
13393638000000,13393704000000,KEYCODE_2
13394137000000,13394253000000,KEYCODE_4
13394671000000,13394737000000,KEYCODE_6
13395187000000,13395253000000,KEYCODE_3
13395679000000,13395737000000,KEYCODE_9
13396195000000,13396278000000,KEYCODE_8
13396887000000,13396978000000,KEYCODE_0
13397437000000,13397461000000,KEYCODE_8
13397937000000,13398011000000,KEYCODE_9
13398445000000,13398494000000,KEYCODE_5
13398953000000,13399052000000,KEYCODE_4
13399561000000,13399644000000,KEYCODE_1
13400094000000,13400177000000,KEYCODE_3
13400669000000,13400752000000,KEYCODE_6
13401235000000,13401310000000,KEYCODE_2
13401752000000,13401860000000,KEYCODE_7
13402360000000,13402443000000,KEYCODE_7
13402910000000,13402951000000,KEYCODE_9
13403451000000,13403534000000,KEYCODE_8
13404051000000,13404142000000,KEYCODE_1
13404618000000,13404700000000,KEYCODE_3
13405193000000,13405283000000,KEYCODE_2
13405734000000,13405800000000,KEYCODE_6
13406251000000,13406325000000,KEYCODE_5
13406975000000,13407058000000,KEYCODE_0
13407509000000,13407583000000,KEYCODE_4
13408083000000,13408133000000,KEYCODE_2
13408617000000,13408674000000,KEYCODE_5
13409133000000,13409199000000,KEYCODE_8
13409775000000,13409849000000,KEYCODE_0
13410300000000,13410366000000,KEYCODE_3
13410791000000,13410857000000,KEYCODE_9
13411258000000,13411365000000,KEYCODE_4
13411858000000,13411940000000,KEYCODE_7
13412408000000,13412473000000,KEYCODE_1
13412932000000,13412973000000,KEYCODE_6
13413474000000,13413548000000,KEYCODE_2
13414082000000,13414173000000,KEYCODE_9
13414632000000,13414714000000,KEYCODE_4
13415232000000,13415306000000,KEYCODE_5
13415806000000,13415864000000,KEYCODE_3
13416390000000,13416464000000,KEYCODE_1
13416973000000,13417056000000,KEYCODE_0
13417573000000,13417639000000,KEYCODE_7
13418156000000,13418205000000,KEYCODE_8
13418639000000,13418697000000,KEYCODE_6
13419173000000,13419239000000,KEYCODE_2
13419782000000,13419873000000,KEYCODE_6
13420341000000,13420407000000,KEYCODE_9
13420924000000,13421024000000,KEYCODE_7
13421550000000,13421658000000,KEYCODE_0
13422109000000,13422191000000,KEYCODE_3
13422759000000,13422825000000,KEYCODE_1
13423334000000,13423367000000,KEYCODE_5
13423810000000,13423909000000,KEYCODE_4
13424352000000,13424426000000,KEYCODE_8
13424894000000,13424985000000,KEYCODE_1
13425469000000,13425536000000,KEYCODE_7
13426028000000,13426111000000,KEYCODE_4
13426653000000,13426736000000,KEYCODE_0
