DownTime,EventTime,Keypress
19461573000000,19461647000000,KEYCODE_6
19462131000000,19462172000000,KEYCODE_1
19462589000000,19462663000000,KEYCODE_4
19463213000000,19463287000000,KEYCODE_2
19463854000000,19463887000000,KEYCODE_0
19464537000000,19464619000000,KEYCODE_3
19465294000000,19465377000000,KEYCODE_9
19465935000000,19466018000000,KEYCODE_7
19466668000000,19466734000000,KEYCODE_8
19467517000000,19467600000000,KEYCODE_5
19468283000000,19468358000000,KEYCODE_0
19469524000000,19469631000000,KEYCODE_1
19470423000000,19470505000000,KEYCODE_6
19471389000000,19471521000000,KEYCODE_3
19472354000000,19472445000000,KEYCODE_2
19472996000000,19473087000000,KEYCODE_4
19473753000000,19473853000000,KEYCODE_8
19474911000000,19475002000000,KEYCODE_5
19475719000000,19475810000000,KEYCODE_7
19476493000000,19476584000000,KEYCODE_9
19477318000000,19477384000000,KEYCODE_3
19478442000000,19478599000000,KEYCODE_0
19479291000000,19479465000000,KEYCODE_6
19480166000000,19480365000000,KEYCODE_1
19480965000000,19481081000000,KEYCODE_9
19481740000000,19481881000000,KEYCODE_2
19482431000000,19482564000000,KEYCODE_4
19483123000000,19483222000000,KEYCODE_8
19483765000000,19483881000000,KEYCODE_7
19484390000000,19484498000000,KEYCODE_5
19485007000000,19485081000000,KEYCODE_8
19485565000000,19485665000000,KEYCODE_5
19486215000000,19486348000000,KEYCODE_4
19486857000000,19486956000000,KEYCODE_1
19487465000000,19487606000000,KEYCODE_7
19488173000000,19488272000000,KEYCODE_9
19488747000000,19488847000000,KEYCODE_2
19489356000000,19489446000000,KEYCODE_6
19489955000000,19490005000000,KEYCODE_3
19490555000000,19490663000000,KEYCODE_0
19491155000000,19491229000000,KEYCODE_6
19491696000000,19491779000000,KEYCODE_9
19492288000000,19492363000000,KEYCODE_1
19492880000000,19492979000000,KEYCODE_2
19493455000000,19493537000000,KEYCODE_3
19494038000000,19494137000000,KEYCODE_7
19494721000000,19494795000000,KEYCODE_0
19495296000000,19495345000000,KEYCODE_8
19495829000000,19495945000000,KEYCODE_4
19496412000000,19496503000000,KEYCODE_5
19497037000000,19497128000000,KEYCODE_5
