"DownTime","EventTime","Keypress","WindowSize","id"
1.3324994e+13,1.332506e+13,"KEYCODE_4",13,1
1.3325594e+13,1.3325635e+13,"KEYCODE_2",8,2
1.3326094e+13,1.3326126e+13,"KEYCODE_8",6,3
1.3326568e+13,1.3326651e+13,"KEYCODE_0",16,4
1.3327059e+13,1.3327134e+13,"KEYCODE_6",14,5
1.33276e+13,1.3327666e+13,"KEYCODE_1",13,6
1.3328141e+13,1.3328216e+13,"KEYCODE_5",15,7
1.3328699e+13,1.332879e+13,"KEYCODE_7",18,8
1.3329199e+13,1.3329315e+13,"KEYCODE_9",23,9
1.3329756e+13,1.3329831e+13,"KEYCODE_3",15,10
1.3330289e+13,1.3330363e+13,"KEYCODE_5",14,11
1.333078e+13,1.3330846e+13,"KEYCODE_8",14,12
1.3331321e+13,1.3331421e+13,"KEYCODE_1",20,13
1.3332021e+13,1.3332112e+13,"KEYCODE_9",17,14
1.3332529e+13,1.333257e+13,"KEYCODE_6",9,15
1.3333087e+13,1.3333161e+13,"KEYCODE_3",15,16
1.3333678e+13,1.3333752e+13,"KEYCODE_4",15,17
1.3334261e+13,1.3334368e+13,"KEYCODE_0",21,18
1.3334868e+13,1.3334951e+13,"KEYCODE_7",16,19
1.3335443e+13,1.3335525e+13,"KEYCODE_2",16,20
1.3335959e+13,1.333605e+13,"KEYCODE_4",18,21
1.3336525e+13,1.3336616e+13,"KEYCODE_7",18,22
1.3337058e+13,1.3337157e+13,"KEYCODE_8",19,23
1.3337599e+13,1.3337665e+13,"KEYCODE_5",13,24
1.3338182e+13,1.3338298e+13,"KEYCODE_0",21,25
1.3338782e+13,1.3338847e+13,"KEYCODE_3",13,26
1.3339356e+13,1.3339455e+13,"KEYCODE_2",20,27
1.3339931e+13,1.3340013e+13,"KEYCODE_1",17,28
1.3340463e+13,1.3340554e+13,"KEYCODE_6",18,29
1.3340988e+13,1.3341029e+13,"KEYCODE_9",8,30
1.3341629e+13,1.3341737e+13,"KEYCODE_0",22,31
1.334222e+13,1.3342319e+13,"KEYCODE_7",20,32
1.3342761e+13,1.3342836e+13,"KEYCODE_9",15,33
1.3343269e+13,1.3343352e+13,"KEYCODE_5",17,34
1.3343802e+13,1.3343885e+13,"KEYCODE_6",16,35
1.3344368e+13,1.3344443e+13,"KEYCODE_2",15,36
1.334491e+13,1.3344984e+13,"KEYCODE_8",15,37
1.3345467e+13,1.3345542e+13,"KEYCODE_4",15,38
1.3346009e+13,1.3346075e+13,"KEYCODE_3",12,39
1.3346567e+13,1.3346625e+13,"KEYCODE_1",12,40
1.3347092e+13,1.3347175e+13,"KEYCODE_3",17,41
1.33477e+13,1.3347775e+13,"KEYCODE_2",15,42
1.3348234e+13,1.3348316e+13,"KEYCODE_9",16,43
1.334875e+13,1.3348841e+13,"KEYCODE_8",18,44
1.3349266e+13,1.3349374e+13,"KEYCODE_4",22,45
1.3349916e+13,1.335004e+13,"KEYCODE_0",24,46
1.3350482e+13,1.335054e+13,"KEYCODE_5",11,47
1.3351032e+13,1.3351123e+13,"KEYCODE_1",18,48
1.3351598e+13,1.3351714e+13,"KEYCODE_7",23,49
1.3352131e+13,1.3352197e+13,"KEYCODE_6",13,50
1.3352664e+13,1.3352739e+13,"KEYCODE_5",15,51
1.3353214e+13,1.3353263e+13,"KEYCODE_2",10,52
1.3353972e+13,1.335403e+13,"KEYCODE_0",11,53
1.3354505e+13,1.3354579e+13,"KEYCODE_9",15,54
1.3355038e+13,1.3355137e+13,"KEYCODE_1",19,55
1.3355712e+13,1.3355795e+13,"KEYCODE_8",16,56
1.3356304e+13,1.3356403e+13,"KEYCODE_7",19,57
1.3356862e+13,1.3356929e+13,"KEYCODE_3",13,58
1.3357346e+13,1.3357437e+13,"KEYCODE_6",18,59
1.3357896e+13,1.3357995e+13,"KEYCODE_4",20,60
1.3358513e+13,1.3358587e+13,"KEYCODE_0",14,61
1.3359054e+13,1.3359129e+13,"KEYCODE_4",14,62
1.3359571e+13,1.3359671e+13,"KEYCODE_7",20,63
1.3360096e+13,1.3360171e+13,"KEYCODE_9",15,64
1.3360697e+13,1.3360771e+13,"KEYCODE_2",15,65
1.3361288e+13,1.3361363e+13,"KEYCODE_6",15,66
1.336183e+13,1.3361913e+13,"KEYCODE_3",17,67
1.3362355e+13,1.3362446e+13,"KEYCODE_5",18,68
1.3362922e+13,1.3363005e+13,"KEYCODE_1",17,69
1.3363397e+13,1.3363479e+13,"KEYCODE_8",17,70
1.336393e+13,1.3363979e+13,"KEYCODE_2",9,71
1.3364422e+13,1.3364529e+13,"KEYCODE_4",21,72
1.3364972e+13,1.3365055e+13,"KEYCODE_7",16,73
1.336553e+13,1.3365605e+13,"KEYCODE_1",15,74
1.3366172e+13,1.3366222e+13,"KEYCODE_0",10,75
1.3366664e+13,1.336673e+13,"KEYCODE_3",13,76
1.3367148e+13,1.3367214e+13,"KEYCODE_5",14,77
1.3367656e+13,1.336773e+13,"KEYCODE_8",15,78
1.3368173e+13,1.3368247e+13,"KEYCODE_9",15,79
1.3368665e+13,1.3368722e+13,"KEYCODE_6",11,80
1.3369215e+13,1.3369289e+13,"KEYCODE_8",15,81
1.3369757e+13,1.3369831e+13,"KEYCODE_9",14,82
1.337034e+13,1.3370406e+13,"KEYCODE_3",13,83
1.3370874e+13,1.3370898e+13,"KEYCODE_6",5,84
1.3371399e+13,1.3371498e+13,"KEYCODE_7",20,85
1.3372057e+13,1.3372149e+13,"KEYCODE_0",18,86
1.3372583e+13,1.3372657e+13,"KEYCODE_5",15,87
1.3373099e+13,1.3373166e+13,"KEYCODE_4",14,88
1.3373641e+13,1.3373724e+13,"KEYCODE_2",16,89
1.3374275e+13,1.3374349e+13,"KEYCODE_1",15,90
1.3374817e+13,1.3374883e+13,"KEYCODE_4",13,91
1.3375392e+13,1.3375483e+13,"KEYCODE_1",18,92
1.337595e+13,1.3376058e+13,"KEYCODE_7",22,93
1.3376542e+13,1.3376633e+13,"KEYCODE_2",18,94
1.3377067e+13,1.3377158e+13,"KEYCODE_9",18,95
1.3377592e+13,1.337765e+13,"KEYCODE_5",12,96
1.3378267e+13,1.3378325e+13,"KEYCODE_0",11,97
1.3378809e+13,1.3378891e+13,"KEYCODE_8",17,98
1.3379325e+13,1.3379383e+13,"KEYCODE_6",12,99
1.3379817e+13,1.3379891e+13,"KEYCODE_3",14,100
1.3380342e+13,1.3380416e+13,"KEYCODE_8",14,101
1.3380916e+13,1.3381007e+13,"KEYCODE_0",18,102
1.33815e+13,1.3381566e+13,"KEYCODE_3",13,103
1.3382024e+13,1.3382132e+13,"KEYCODE_4",21,104
1.3382591e+13,1.3382665e+13,"KEYCODE_5",15,105
1.3383082e+13,1.3383173e+13,"KEYCODE_7",18,106
1.3383657e+13,1.3383732e+13,"KEYCODE_6",15,107
1.338419e+13,1.3384273e+13,"KEYCODE_1",16,108
1.338474e+13,1.3384806e+13,"KEYCODE_9",13,109
1.3385265e+13,1.3385331e+13,"KEYCODE_2",13,110
1.338579e+13,1.3385856e+13,"KEYCODE_6",13,111
1.3386315e+13,1.3386381e+13,"KEYCODE_2",13,112
1.3386781e+13,1.3386839e+13,"KEYCODE_5",12,113
1.3387398e+13,1.338748e+13,"KEYCODE_0",17,114
1.3387922e+13,1.338798e+13,"KEYCODE_3",12,115
1.3388464e+13,1.3388547e+13,"KEYCODE_1",16,116
1.3389131e+13,1.3389213e+13,"KEYCODE_8",16,117
1.338973e+13,1.3389813e+13,"KEYCODE_7",17,118
1.3390222e+13,1.3390329e+13,"KEYCODE_4",21,119
1.3390772e+13,1.3390863e+13,"KEYCODE_9",18,120
1.3391305e+13,1.3391404e+13,"KEYCODE_7",20,121
1.3391863e+13,1.3391929e+13,"KEYCODE_5",13,122
1.339248e+13,1.3392571e+13,"KEYCODE_0",18,123
1.3393046e+13,1.3393137e+13,"KEYCODE_1",18,124
1.3393638e+13,1.3393704e+13,"KEYCODE_2",14,125
1.3394137e+13,1.3394253e+13,"KEYCODE_4",23,126
1.3394671e+13,1.3394737e+13,"KEYCODE_6",13,127
1.3395187e+13,1.3395253e+13,"KEYCODE_3",13,128
1.3395679e+13,1.3395737e+13,"KEYCODE_9",12,129
1.3396195e+13,1.3396278e+13,"KEYCODE_8",17,130
1.3396887e+13,1.3396978e+13,"KEYCODE_0",18,131
1.3397437e+13,1.3397461e+13,"KEYCODE_8",4,132
1.3397937e+13,1.3398011e+13,"KEYCODE_9",15,133
1.3398445e+13,1.3398494e+13,"KEYCODE_5",10,134
1.3398953e+13,1.3399052e+13,"KEYCODE_4",19,135
1.3399561e+13,1.3399644e+13,"KEYCODE_1",17,136
1.3400094e+13,1.3400177e+13,"KEYCODE_3",17,137
1.3400669e+13,1.3400752e+13,"KEYCODE_6",17,138
1.3401235e+13,1.340131e+13,"KEYCODE_2",15,139
1.3401752e+13,1.340186e+13,"KEYCODE_7",21,140
1.340236e+13,1.3402443e+13,"KEYCODE_7",17,141
1.340291e+13,1.3402951e+13,"KEYCODE_9",9,142
1.3403451e+13,1.3403534e+13,"KEYCODE_8",16,143
1.3404051e+13,1.3404142e+13,"KEYCODE_1",19,144
1.3404618e+13,1.34047e+13,"KEYCODE_3",16,145
1.3405193e+13,1.3405283e+13,"KEYCODE_2",18,146
1.3405734e+13,1.34058e+13,"KEYCODE_6",13,147
1.3406251e+13,1.3406325e+13,"KEYCODE_5",15,148
1.3406975e+13,1.3407058e+13,"KEYCODE_0",16,149
1.3407509e+13,1.3407583e+13,"KEYCODE_4",15,150
1.3408083e+13,1.3408133e+13,"KEYCODE_2",10,151
1.3408617e+13,1.3408674e+13,"KEYCODE_5",12,152
1.3409133e+13,1.3409199e+13,"KEYCODE_8",14,153
1.3409775e+13,1.3409849e+13,"KEYCODE_0",14,154
1.34103e+13,1.3410366e+13,"KEYCODE_3",13,155
1.3410791e+13,1.3410857e+13,"KEYCODE_9",13,156
1.3411258e+13,1.3411365e+13,"KEYCODE_4",22,157
1.3411858e+13,1.341194e+13,"KEYCODE_7",17,158
1.3412408e+13,1.3412473e+13,"KEYCODE_1",13,159
1.3412932e+13,1.3412973e+13,"KEYCODE_6",8,160
1.3413474e+13,1.3413548e+13,"KEYCODE_2",15,161
1.3414082e+13,1.3414173e+13,"KEYCODE_9",18,162
1.3414632e+13,1.3414714e+13,"KEYCODE_4",16,163
1.3415232e+13,1.3415306e+13,"KEYCODE_5",14,164
1.3415806e+13,1.3415864e+13,"KEYCODE_3",11,165
1.341639e+13,1.3416464e+13,"KEYCODE_1",15,166
1.3416973e+13,1.3417056e+13,"KEYCODE_0",16,167
1.3417573e+13,1.3417639e+13,"KEYCODE_7",13,168
1.3418156e+13,1.3418205e+13,"KEYCODE_8",9,169
1.3418639e+13,1.3418697e+13,"KEYCODE_6",11,170
1.3419173e+13,1.3419239e+13,"KEYCODE_2",13,171
1.3419782e+13,1.3419873e+13,"KEYCODE_6",18,172
1.3420341e+13,1.3420407e+13,"KEYCODE_9",13,173
1.3420924e+13,1.3421024e+13,"KEYCODE_7",19,174
1.342155e+13,1.3421658e+13,"KEYCODE_0",21,175
1.3422109e+13,1.3422191e+13,"KEYCODE_3",16,176
1.3422759e+13,1.3422825e+13,"KEYCODE_1",13,177
1.3423334e+13,1.3423367e+13,"KEYCODE_5",6,178
1.342381e+13,1.3423909e+13,"KEYCODE_4",20,179
1.3424352e+13,1.3424426e+13,"KEYCODE_8",15,180
1.3424894e+13,1.3424985e+13,"KEYCODE_1",19,181
1.3425469e+13,1.3425536e+13,"KEYCODE_7",13,182
1.3426028e+13,1.3426111e+13,"KEYCODE_4",16,183
1.3426653e+13,1.3426736e+13,"KEYCODE_0",17,184
1.3427195e+13,1.3427261e+13,"KEYCODE_3",13,185
1.3427745e+13,1.3427803e+13,"KEYCODE_2",11,186
1.3428279e+13,1.3428345e+13,"KEYCODE_8",13,187
1.3428779e+13,1.3428837e+13,"KEYCODE_6",12,188
1.3429296e+13,1.3429354e+13,"KEYCODE_5",11,189
1.3429896e+13,1.3429987e+13,"KEYCODE_9",18,190
1.3430463e+13,1.3430512e+13,"KEYCODE_8",10,191
1.3430971e+13,1.3431037e+13,"KEYCODE_3",13,192
1.3431496e+13,1.3431595e+13,"KEYCODE_4",20,193
1.3432045e+13,1.3432095e+13,"KEYCODE_5",9,194
1.3432587e+13,1.3432653e+13,"KEYCODE_1",13,195
1.3433095e+13,1.3433161e+13,"KEYCODE_6",13,196
1.3433678e+13,1.3433753e+13,"KEYCODE_0",15,197
1.3434228e+13,1.3434261e+13,"KEYCODE_2",7,198
1.343472e+13,1.3434794e+13,"KEYCODE_7",15,199
1.3435186e+13,1.3435261e+13,"KEYCODE_9",15,200
1.3435795e+13,1.3435861e+13,"KEYCODE_9",13,201
1.3436361e+13,1.3436444e+13,"KEYCODE_1",17,202
1.3436886e+13,1.343696e+13,"KEYCODE_4",15,203
1.3437478e+13,1.3437577e+13,"KEYCODE_7",20,204
1.3438086e+13,1.3438177e+13,"KEYCODE_8",18,205
1.3438652e+13,1.343871e+13,"KEYCODE_3",12,206
1.3439219e+13,1.3439335e+13,"KEYCODE_0",23,207
1.3439852e+13,1.343991e+13,"KEYCODE_2",12,208
1.3440377e+13,1.3440451e+13,"KEYCODE_6",14,209
1.3440919e+13,1.3440976e+13,"KEYCODE_5",11,210
1.3441419e+13,1.3441501e+13,"KEYCODE_6",16,211
1.344201e+13,1.3442085e+13,"KEYCODE_8",15,212
1.3442577e+13,1.3442668e+13,"KEYCODE_7",18,213
1.3443127e+13,1.3443185e+13,"KEYCODE_9",12,214
1.3443677e+13,1.3443752e+13,"KEYCODE_2",15,215
1.3444261e+13,1.344436e+13,"KEYCODE_0",20,216
1.3444869e+13,1.3444943e+13,"KEYCODE_3",14,217
1.3445461e+13,1.3445544e+13,"KEYCODE_4",17,218
1.3445995e+13,1.3446069e+13,"KEYCODE_5",15,219
1.344657e+13,1.3446637e+13,"KEYCODE_1",13,220
1.3447079e+13,1.3447145e+13,"KEYCODE_6",12,221
1.3447638e+13,1.3447746e+13,"KEYCODE_0",22,222
1.3448189e+13,1.3448255e+13,"KEYCODE_8",13,223
1.3448739e+13,1.344883e+13,"KEYCODE_4",18,224
1.3449297e+13,1.3449347e+13,"KEYCODE_2",10,225
1.3449781e+13,1.3449872e+13,"KEYCODE_7",18,226
1.3450322e+13,1.3450413e+13,"KEYCODE_1",17,227
1.3450847e+13,1.3450905e+13,"KEYCODE_9",12,228
1.3451381e+13,1.3451455e+13,"KEYCODE_3",15,229
1.3451872e+13,1.3451947e+13,"KEYCODE_5",15,230
1.3452422e+13,1.3452513e+13,"KEYCODE_7",18,231
1.3452981e+13,1.3453064e+13,"KEYCODE_1",17,232
1.3453489e+13,1.3453539e+13,"KEYCODE_9",10,233
1.3453998e+13,1.3454047e+13,"KEYCODE_8",10,234
1.3454557e+13,1.3454648e+13,"KEYCODE_0",17,235
1.3455074e+13,1.345514e+13,"KEYCODE_5",13,236
1.3455574e+13,1.3455665e+13,"KEYCODE_4",18,237
1.3456124e+13,1.3456181e+13,"KEYCODE_3",11,238
1.345664e+13,1.3456706e+13,"KEYCODE_2",12,239
1.3457182e+13,1.345724e+13,"KEYCODE_6",12,240
1.3457699e+13,1.3457773e+13,"KEYCODE_5",14,241
1.3458199e+13,1.3458248e+13,"KEYCODE_8",9,242
1.3458707e+13,1.345874e+13,"KEYCODE_9",7,243
1.3459199e+13,1.3459273e+13,"KEYCODE_4",14,244
1.3459715e+13,1.345979e+13,"KEYCODE_2",15,245
1.3460265e+13,1.3460348e+13,"KEYCODE_0",16,246
1.3460807e+13,1.3460898e+13,"KEYCODE_7",18,247
1.3461299e+13,1.3461348e+13,"KEYCODE_6",9,248
1.3461815e+13,1.3461881e+13,"KEYCODE_3",13,249
1.346229e+13,1.3462382e+13,"KEYCODE_1",18,250
1.3462807e+13,1.3462907e+13,"KEYCODE_7",20,251
1.3463349e+13,1.346344e+13,"KEYCODE_4",18,252
1.3463891e+13,1.3463957e+13,"KEYCODE_2",13,253
1.3464367e+13,1.346445e+13,"KEYCODE_9",17,254
1.3464876e+13,1.3464942e+13,"KEYCODE_6",13,255
1.3465384e+13,1.3465459e+13,"KEYCODE_1",15,256
1.346591e+13,1.3465976e+13,"KEYCODE_3",12,257
1.3466402e+13,1.3466468e+13,"KEYCODE_8",13,258
1.3466894e+13,1.3466943e+13,"KEYCODE_5",9,259
1.3467553e+13,1.3467652e+13,"KEYCODE_0",20,260
1.3468119e+13,1.3468169e+13,"KEYCODE_9",10,261
1.3468669e+13,1.3468769e+13,"KEYCODE_0",19,262
1.3469202e+13,1.346926e+13,"KEYCODE_6",12,263
1.3469703e+13,1.3469794e+13,"KEYCODE_4",18,264
1.3470219e+13,1.3470277e+13,"KEYCODE_8",11,265
1.3470744e+13,1.347081e+13,"KEYCODE_2",13,266
1.3471294e+13,1.3471335e+13,"KEYCODE_3",8,267
1.3471802e+13,1.3471885e+13,"KEYCODE_1",17,268
1.3472352e+13,1.3472427e+13,"KEYCODE_5",15,269
1.3472869e+13,1.3472968e+13,"KEYCODE_7",19,270
1.3473444e+13,1.3473535e+13,"KEYCODE_1",18,271
1.3474069e+13,1.3474152e+13,"KEYCODE_7",17,272
1.3474702e+13,1.347476e+13,"KEYCODE_9",11,273
1.3475211e+13,1.3475268e+13,"KEYCODE_6",12,274
1.3475686e+13,1.3475743e+13,"KEYCODE_5",10,275
1.3476211e+13,1.3476277e+13,"KEYCODE_2",14,276
1.3476803e+13,1.3476877e+13,"KEYCODE_0",15,277
1.3477328e+13,1.3477419e+13,"KEYCODE_4",18,278
1.3477861e+13,1.3477919e+13,"KEYCODE_8",12,279
1.347837e+13,1.3478419e+13,"KEYCODE_3",10,280
1.3478862e+13,1.3478903e+13,"KEYCODE_5",8,281
1.3479378e+13,1.3479444e+13,"KEYCODE_7",13,282
1.3479887e+13,1.3479936e+13,"KEYCODE_8",10,283
1.3480345e+13,1.3480403e+13,"KEYCODE_9",11,284
1.3480854e+13,1.348092e+13,"KEYCODE_6",13,285
1.3481354e+13,1.3481429e+13,"KEYCODE_2",15,286
1.3481888e+13,1.3481971e+13,"KEYCODE_1",17,287
1.3482372e+13,1.3482463e+13,"KEYCODE_4",18,288
1.3482914e+13,1.3482971e+13,"KEYCODE_3",11,289
1.3483422e+13,1.3483521e+13,"KEYCODE_0",20,290
1.3483922e+13,1.3483988e+13,"KEYCODE_8",13,291
1.348453e+13,1.3484596e+13,"KEYCODE_3",13,292
1.348503e+13,1.3485096e+13,"KEYCODE_9",13,293
1.3485514e+13,1.3485588e+13,"KEYCODE_5",15,294
1.3486031e+13,1.3486072e+13,"KEYCODE_6",8,295
1.3486532e+13,1.3486598e+13,"KEYCODE_2",14,296
1.3487015e+13,1.3487082e+13,"KEYCODE_4",14,297
1.3487724e+13,1.3487799e+13,"KEYCODE_0",14,298
1.3488258e+13,1.3488333e+13,"KEYCODE_7",15,299
1.3488776e+13,1.3488867e+13,"KEYCODE_1",19,300
1.3489368e+13,1.3489434e+13,"KEYCODE_3",13,301
1.3489877e+13,1.3489934e+13,"KEYCODE_9",11,302
1.3490444e+13,1.349051e+13,"KEYCODE_2",13,303
1.3490961e+13,1.3491044e+13,"KEYCODE_8",16,304
1.3491528e+13,1.3491594e+13,"KEYCODE_1",13,305
1.3492053e+13,1.3492145e+13,"KEYCODE_7",19,306
1.3492679e+13,1.349277e+13,"KEYCODE_0",18,307
1.3493504e+13,1.3493578e+13,"KEYCODE_5",15,308
