Timestamp,x,y,z,alpha,beta,gamma
1481369105237,0.0031614304,-0.0689688,-0.10242939,-0.020690918,0.013244629,-0.010299683
1481369105240,-0.07114887,-0.111095846,0.047068596,-0.015258789,0.003189087,-0.0074920654
1481369105248,-0.029992104,-0.14813244,0.055752754,-0.0046081543,-0.003753662,-0.0036773682
1481369105252,-0.02261591,-0.17339778,0.09455395,0.00831604,-0.006515503,-1.5258789E-5
1481369105255,-0.04826784,-0.1708338,0.10221958,0.01991272,-0.004257202,0.0032196045
1481369105260,-0.06174183,-0.15020433,0.08872318,0.026611328,0.0027160645,0.0050811768
1481369105265,-0.027887344,-0.06471056,0.014685631,0.028884888,0.00793457,0.0068359375
1481369105270,-0.015403748,-0.018209338,-0.008858681,0.029281616,0.009109497,0.0076141357
1481369105276,0.09539461,-0.035764277,-0.11403942,0.026535034,0.009109497,0.006942749
1481369105281,0.08028507,-0.013096392,-0.03010559,0.022949219,0.009109497,0.0051879883
1481369105285,0.111699104,-0.026406229,-0.2737322,0.019729614,0.010482788,0.0023498535
1481369105295,0.073120594,0.010799915,-0.28591824,0.01651001,0.014007568,-0.0015563965
1481369105300,0.0844183,0.0101701915,-0.35427475,0.01260376,0.01411438,-0.0044555664
1481369105305,0.097761154,-0.041816592,-0.32324505,0.0069274902,0.0098724365,-0.0058898926
1481369105310,0.13174057,-0.036454916,-0.28112888,5.187988E-4,0.001739502,-0.006958008
1481369105316,0.087435246,-0.04964736,-0.23982239,-0.00592041,-0.006500244,-0.008743286
1481369105320,0.052863598,-0.07412663,-0.28378487,-0.012374878,-0.01260376,-0.008758545
1481369105326,0.05620289,-0.114558786,-0.1840105,-0.016647339,-0.015106201,-0.0069732666
1481369105331,0.017301083,-0.14032361,-0.12547398,-0.01914978,-0.01260376,-0.004837036
1481369105335,0.056625366,-0.12106657,-0.10991001,-0.022735596,-0.00831604,-0.0012512207
1481369105340,0.06972933,-0.073853254,-0.05690193,-0.024856567,-0.0061950684,0.002319336
1481369105345,0.09208393,-0.07425076,0.11058998,-0.026657104,-0.006576538,0.0055236816
1481369105350,0.06463385,-0.02294907,0.12782574,-0.027328491,-0.012023926,0.0072784424
1481369105356,0.08430004,-0.009952128,0.21996784,-0.026611328,-0.017318726,0.0090789795
1481369105361,0.08242321,-0.04670483,0.3203373,-0.021118164,-0.020874023,0.009750366
1481369105366,0.042886257,-0.116253436,0.2666378,-0.014343262,-0.021865845,0.010498047
1481369105370,0.083836555,-0.1006484,0.3712101,-0.00642395,-0.020385742,0.010818481
1481369105375,0.051506042,-0.12324619,0.3099823,0.0028686523,-0.017501831,0.009338379
1481369105381,0.085662365,-0.13176489,0.2378521,0.010269165,-0.011291504,0.006439209
1481369105385,0.08689976,-0.06508103,0.10795784,0.015945435,-7.9345703E-4,0.0024871826
1481369105390,0.07444477,-0.03454882,-0.036701202,0.019042969,0.008743286,-3.0517578E-4
1481369105395,0.06942272,0.026315391,-0.10665989,0.0181427,0.012756348,-0.0047302246
1481369105401,0.078444004,-0.019213587,-0.18062878,0.015991211,0.0072631836,-0.01008606
1481369105405,0.072873116,-0.012280226,-0.1857214,0.014633179,-0.0012054443,-0.01461792
1481369105410,0.020003319,-0.075899184,-0.12734509,0.012786865,-0.0067749023,-0.018173218
1481369105415,0.01941061,-0.07510477,-0.1567831,0.009857178,-0.007980347,-0.019851685
1481369105420,-0.021097183,-0.06713548,-0.15760231,0.0074310303,-0.0041046143,-0.02015686
1481369105426,-0.060950756,-0.06149912,-0.1889267,0.004501343,0.0012664795,-0.02015686
1481369105431,-0.029563904,-0.032303303,-0.25283623,0.0020751953,0.004257202,-0.01701355
1481369105436,-0.0055441856,-0.026939303,-0.26662636,-7.6293945E-5,0.004043579,-0.015090942
1481369105441,-0.026668072,-0.014621884,-0.28979874,9.460449E-4,-1.8310547E-4,-0.011642456
1481369105446,-0.010148048,-0.030836046,-0.16446209,0.0015106201,-0.0071411133,-0.008148193
1481369105451,-0.07185364,-0.063458145,-0.09710693,7.019043E-4,-0.013839722,-0.0033569336
1481369105456,-0.07891989,-0.020406485,-0.004594803,-3.6621094E-4,-0.017059326,0.0012054443
1481369105461,-0.08583021,-0.017931432,0.042271614,1.6784668E-4,-0.012786865,0.0046844482
1481369105466,-0.016940594,0.024520457,0.077056885,-0.0011749268,-0.0055389404,0.009521484
1481369105471,-0.009728909,0.010006905,0.08337021,-0.003326416,3.3569336E-4,0.011642456
1481369105476,0.016369343,0.04270622,0.044879913,-5.79834E-4,8.087158E-4,0.013519287
1481369105481,0.016150951,0.004119396,0.10335159,0.0045166016,-0.0035247803,0.014846802
1481369105486,0.029858112,0.024574041,0.04325199,0.010696411,-0.008880615,0.015914917
1481369105491,0.026723385,0.023404688,0.08736229,0.0146484375,-0.013412476,0.015350342
1481369105496,0.056550503,0.0032252073,0.17347717,0.018692017,-0.014389038,0.015930176
1481369105501,0.036713123,-3.2761693E-4,0.103214264,0.01966858,-0.009399414,0.013671875
1481369105506,0.06219101,-0.06747553,0.04791069,0.01966858,-0.0013122559,0.0104522705
1481369105511,0.09958172,-0.11028099,0.0664196,0.016296387,0.006439209,0.008071899
1481369105516,0.08726215,-0.10297918,-0.023669243,0.013702393,0.008041382,0.0050964355
1481369105521,0.060845852,-0.13327679,-0.051641464,0.0098724365,0.0063476563,0.0010375977
1481369105526,0.025126934,-0.099380076,-0.16436386,0.0072784424,0.004196167,-0.003250122
1481369105531,0.020317078,-0.0607951,-0.14164448,0.0025787354,0.0029144287,-0.008392334
1481369105536,0.008462906,-0.04109943,-0.17339993,-0.0027618408,0.003540039,-0.012023926
1481369105541,-9.1362E-4,-0.052049875,-0.20016193,-0.004699707,0.003768921,-0.015258789
1481369105546,-0.057444096,-0.032188684,-0.18659782,-0.004043579,0.00289917,-0.0158844
1481369105551,0.02324295,-0.050370514,-0.08590698,-0.0012359619,-0.0025024414,-0.015014648
1481369105556,-0.05278921,-0.08505118,-0.09477615,2.2888184E-4,-0.008056641,-0.013076782
1481369105561,-0.062178135,-0.086524874,-0.16735649,0.0021820068,-0.008178711,-0.010055542
1481369105566,-0.03130865,-0.11884782,-0.24639606,0.0043182373,-0.0071105957,-0.0059661865
1481369105571,-0.019480705,-0.08496815,-0.29876804,0.0064697266,-0.0042877197,-0.0034332275
1481369105576,0.01826477,-0.056174546,-0.26334095,0.0059661865,-0.0045928955,-4.119873E-4
1481369105581,0.0131902695,-0.0134803355,-0.18808842,0.0048828125,-0.004776001,0.0028076172
1481369105586,-0.008431435,-0.06555596,-0.09224987,0.0029296875,-0.007446289,0.005126953
1481369105591,0.05027771,-0.022775292,-0.09876919,0.0025787354,-0.009765625,0.0072631836
1481369105596,0.11784935,0.0077866316,0.022187233,0.0034637451,-0.011917114,0.008514404
1481369105601,0.066673756,-0.004428655,0.045272827,0.0036468506,-0.01675415,0.008682251
1481369105606,0.07002735,0.023516953,0.15068626,0.007232666,-0.02029419,0.0068969727
1481369105611,0.054307938,0.018060386,0.18667889,0.0115356445,-0.024429321,0.0038452148
1481369105616,0.0669198,0.02196306,0.25298882,0.015808105,-0.025985718,0.0015411377
1481369105621,0.03469181,0.018676817,0.25270844,0.01828003,-0.02067566,-0.0015258789
1481369105626,0.057356358,-0.019946963,0.21483326,0.018600464,-0.011520386,-0.0065612793
1481369105632,0.051867485,-0.060454518,0.1751051,0.01675415,-0.003692627,-0.011001587
1481369105636,0.06085682,-0.055612296,0.16417885,0.014602661,0.0019836426,-0.013458252
1481369105641,0.058102608,-0.08846557,0.14161491,0.013397217,0.003616333,-0.015594482
1481369105646,0.04830599,-0.07133275,0.064959526,0.011383057,0.003768921,-0.019607544
1481369105651,0.031458378,-0.14863801,0.0408535,0.010177612,0.0018920898,-0.021087646
1481369105656,0.0028772354,-0.15200597,0.05232525,0.007247925,6.866455E-4,-0.022155762
1481369105661,-0.032526493,-0.14575574,-0.03778553,0.0040283203,0.0024261475,-0.02229309
1481369105666,0.03875351,-0.12296316,-0.06568527,0.0027008057,0.007385254,-0.020401001
1481369105671,-0.03663683,-0.097956896,-0.1663866,-2.593994E-4,0.0146484375,-0.01826477
1481369105677,-0.01206398,-0.0872865,-0.17880917,-0.0015716553,0.016448975,-0.015182495
1481369105682,0.002796173,-0.046124995,-0.2549019,1.9836426E-4,0.012771606,-0.011001587
1481369105687,-0.027515411,-0.06914526,-0.34699154,-5.187988E-4,0.0075531006,-0.007675171
1481369105692,-0.041276455,-0.10616347,-0.3416481,-0.0015869141,0.0021820068,-0.0044555664
1481369105697,-0.012631893,-0.060266286,-0.22314453,-0.003616333,-0.0022125244,-2.89917E-4
1481369105702,0.020321846,-0.040755272,-0.18833733,-0.0048065186,-0.006500244,0.0049591064
1481369105707,0.005589962,-0.009651482,-0.15864563,-0.005874634,-0.011749268,0.008377075
1481369105712,0.07334852,-0.021332592,-0.09628391,-0.0059661865,-0.018005371,0.010604858
1481369105717,0.060025215,0.011819363,0.007910728,-0.002090454,-0.024490356,0.010818481
1481369105722,0.046578884,-0.0074550807,-0.025803566,0.003189087,-0.0289917,0.011810303
1481369105727,0.028388977,-0.031485677,0.035108566,0.0055999756,-0.031311035,0.0138549805
1481369105732,0.019832611,-0.024724543,0.088448524,0.0067596436,-0.027557373,0.014022827
1481369105737,0.0021572113,0.007889479,0.13203049,0.008804321,-0.020324707,0.013046265
1481369105742,0.0038833618,0.037899047,0.16599846,0.007003784,-0.01083374,0.011978149
1481369105747,-0.012973785,0.011129022,0.19513035,0.0048675537,-0.0051727295,0.009918213
1481369105752,0.019945621,0.027168185,0.16032124,0.005706787,-0.0067749023,0.0057678223
1481369105757,0.0052137375,-0.008902878,0.16112328,0.009780884,-0.011932373,0.003479004
1481369105762,-0.009540558,-0.028220713,0.16656303,0.011047363,-0.013259888,0.0013427734
1481369105767,-0.0996418,-0.073306054,0.046883583,0.010101318,-0.009292603,1.9836426E-4
1481369105772,-0.044657707,-0.028155565,0.04168892,0.005004883,0.0020446777,-8.69751E-4
1481369105777,-0.05336094,-0.04452443,0.0013971329,6.713867E-4,0.013793945,-0.0019378662
1481369105782,-0.028533936,-0.06055042,-0.104436874,-0.004638672,0.021560669,-9.765625E-4
1481369105787,-0.013127327,-0.026607275,-0.02041626,-0.011047363,0.024993896,-0.0029754639
1481369105792,0.018793106,-0.05412224,-0.0833807,-0.01234436,0.027175903,-0.0040893555
1481369105797,0.003226757,-0.02942124,-0.07736683,-0.012374878,0.02520752,-0.0061798096
1481369105802,0.015983105,-0.06865671,-0.16589451,-0.011352539,0.021011353,-0.0062713623
1481369105807,-0.004673958,-0.0014009774,-0.17828274,-0.009246826,0.013595581,-0.007293701
1481369105812,0.014675617,-0.038681537,-0.18364239,-0.006072998,0.007156372,-0.00630188
1481369105817,0.07140398,-0.023906082,-0.1890831,-0.0018005371,0.0027923584,-0.005218506
1481369105822,0.011742115,-0.06375283,-0.156847,0.0024719238,-0.0046081543,-0.0041503906
1481369105827,0.023121357,-0.035087198,-0.14155483,0.009918213,-0.010025024,-0.0030822754
1481369105832,0.048338413,-0.06839317,-0.10527897,0.018432617,-0.015365601,-0.0030670166
1481369105837,0.06133938,-0.073446184,-0.09303093,0.027038574,-0.019683838,-0.004119873
1481369105842,0.055231094,-0.045705914,-0.05027008,0.0335083,-0.02079773,-0.0051879883
1481369105847,0.04685211,-0.053726792,-0.06450367,0.033554077,-0.017623901,-0.0062561035
1481369105852,0.026853561,-0.01677221,0.01822567,0.031417847,-0.015472412,-0.0062713623
1481369105857,0.08971453,-0.00830707,-0.05548668,0.027145386,-0.014389038,-0.0062713623
1481369105863,0.019926071,-0.04926625,-0.04592228,0.022827148,-0.012237549,-0.009475708
1481369105868,0.06887865,-0.023551673,-0.005672455,0.017486572,-0.007965088,-0.009475708
1481369105873,0.07275772,-1.4418364E-4,0.024907112,0.011016846,-0.0036621094,-0.010543823
1481369105878,0.043736935,0.021051437,-0.0036745071,0.0024871826,5.950928E-4,-0.011627197
1481369105883,0.026918411,0.042449415,0.005847931,-0.005065918,0.0037994385,-0.013717651
1481369105888,9.1171265E-4,0.078191936,-0.008239746,-0.013549805,0.005859375,-0.012680054
1481369105893,-0.022518158,0.08087072,0.036815643,-0.01889038,0.0036315918,-0.012649536
1481369105898,-0.019946098,0.03415644,-0.02244091,-0.023010254,-0.001663208,-0.011520386
1481369105903,-0.02701664,-0.038143903,0.032011032,-0.02079773,-0.00491333,-0.008300781
1481369105908,-0.04834795,-0.058112055,-0.041549683,-0.016586304,-0.009124756,-0.005065918
1481369105913,-0.03186083,-0.06161526,0.029420853,-0.0143585205,-0.011154175,-8.087158E-4
1481369105918,-0.055659294,-0.08419004,0.116306305,-0.009933472,-0.009963989,0.0023651123
1481369105923,-0.05553198,-0.083307594,0.10573292,-0.0013885498,-0.005844116,0.004501343
1481369105928,-0.0340662,-0.066299856,0.15901375,0.006134033,-0.005935669,0.0066375732
1481369105933,-0.01281929,-0.075788856,0.07490063,0.014678955,-0.008041382,0.008743286
1481369105938,-0.03902626,-0.07141405,0.031565666,0.022140503,-0.00894165,0.009750366
1481369105943,-0.079156876,-0.07211399,-0.011411667,0.028503418,-0.00680542,0.009750366
1481369105948,-0.048044205,-0.08722496,-0.0233078,0.033599854,-0.0046691895,0.009643555
1481369105953,-0.03834486,-0.038579285,-0.08699608,0.034683228,-0.0027770996,0.0074920654
1481369105958,0.02792263,-0.1201787,-0.13599396,0.035491943,-0.004852295,0.00541687
1481369105963,0.018030167,-0.12783048,-0.09491444,0.032043457,-0.005706787,0.004272461
1481369105973,0.0058789253,-0.054917783,-0.09664631,0.025222778,-0.0030975342,0.0020446777
1481369105975,0.045903683,-0.022484273,-0.11592102,0.013534546,0.005264282,-0.0011444092
1481369105983,0.013058186,-0.0361591,-0.11228371,0.0016326904,0.011627197,-0.0044403076
1481369105988,-0.019377708,-0.039687753,-0.18647957,-0.011169434,0.016662598,-0.008483887
1481369105993,0.047525406,0.0021392405,-0.11371994,-0.022750854,0.017303467,-0.009552002
1481369105998,0.033358574,-0.015121192,-0.10305786,-0.031784058,0.012741089,-0.010620117
1481369106003,0.007209778,-0.0014717579,0.089131355,-0.033843994,0.0053100586,-0.011505127
1481369106008,-1.0967255E-4,0.023739755,0.0033893585,-0.034332275,-0.0010986328,-0.010345459
1481369106013,0.053783894,0.0011645854,0.033898354,-0.028686523,-0.00730896,-0.008102417
1481369106018,0.017386436,0.02781114,0.07822132,-0.019592285,-0.011398315,-0.0048828125
1481369106023,0.023623943,-0.0030725598,0.041805267,-0.005935669,-0.013885498,-0.0017089844
1481369106028,0.053137302,-0.0012584329,0.09994507,0.0071105957,-0.020401001,0.0014343262
1481369106033,0.108118534,-6.300211E-5,0.23298359,0.019866943,-0.026733398,0.0038146973
1481369106038,0.0680933,-0.027770668,0.112244606,0.03175354,-0.031600952,0.0076141357
1481369106043,0.066206455,-0.029787272,0.08929062,0.044387817,-0.032180786,0.0074920654
1481369106048,0.010251999,-0.02022171,0.0146923065,0.054214478,-0.02861023,0.0061798096
1481369106053,-0.054462433,-0.039007396,-0.023762703,0.056655884,-0.02243042,0.002960205
1481369106059,-0.06189394,0.0017370284,-0.085440636,0.05267334,-0.018661499,-2.4414063E-4
1481369106064,-0.07399464,-0.0588322,-0.18199635,0.04260254,-0.018661499,-0.003326416
1481369106069,-0.09779787,-0.08516365,-0.0935936,0.02935791,-0.018661499,-0.0055999756
1481369106074,-0.0764699,-0.10340381,-0.008210182,0.012969971,-0.018096924,-0.008682251
1481369106081,-0.026715279,-0.057046235,0.048308372,-0.004638672,-0.013244629,-0.010543823
1481369106084,-0.0501194,-0.06955439,-0.0039844513,-0.017990112,-0.004211426,-0.01083374
1481369106091,-0.011451244,-0.06513235,-0.029605865,-0.026870728,0.007537842,-0.012527466
1481369106096,-0.036380768,-0.0983108,-0.097260475,-0.03147888,0.019058228,-0.011444092
1481369106101,-0.006482601,-0.09314591,-0.20902252,-0.03791809,0.028076172,-0.010864258
