Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1482277608660,-0.05854416,-0.046733856,0.16986609,-0.010910034,0.0033874512,-3.3569336E-4,168.2107,11.756534,-71.4013
1482277608763,-0.062479973,-0.041445434,0.13969016,-0.003829956,0.0032348633,5.340576E-4,168.22095,11.759996,-71.39347
1482277608763,-0.08989906,-0.031629145,0.07693887,0.0035858154,0.002319336,-2.4414063E-4,168.22766,11.762072,-71.39059
1482277608763,-0.058211327,0.04375714,0.014914274,0.009735107,0.0021514893,0.0010070801,168.21533,11.747419,-71.392136
1482277608770,-0.099861145,-0.020596504,-0.027686834,0.013870239,5.645752E-4,0.0026397705,168.21619,11.746835,-71.395805
1482277608770,-0.04464817,-0.025462449,0.092323065,0.017074585,-0.003540039,0.0019226074,168.21881,11.739742,-71.38923
1482277608777,-0.053632736,0.012076139,0.055593014,0.019897461,-0.0064849854,0.0028076172,168.21216,11.726063,-71.38527
1482277608780,-0.048420906,0.042110205,-0.011351347,0.020843506,-0.008163452,0.002609253,168.19849,11.708575,-71.385544
1482277608784,-0.040901184,0.06716436,-0.032749176,0.020385742,-0.0068511963,0.0015258789,168.17761,11.68833,-71.38767
1482277608789,-0.031075478,0.05195999,-0.0137655735,0.01777649,-0.004470825,0.0011444092,168.16357,11.671506,-71.388954
1482277608794,0.004556656,0.02754724,0.0050899982,0.013702393,-0.001953125,0.0025787354,168.15546,11.659848,-71.38849
1482277608800,-2.3937225E-4,0.07178652,-0.06574607,0.010513306,-0.0021972656,0.0012664795,168.13867,11.6442,-71.39265
1482277608804,0.011498451,0.06390005,-0.05573535,0.0072021484,-0.002822876,-5.950928E-4,168.12201,11.632591,-71.39585
1482277608809,-0.0051441193,0.056223392,-0.031680584,0.0023345947,-0.001953125,-0.001739502,168.11145,11.623877,-71.39786
1482277608815,-0.031050682,0.04404223,-0.071510315,-0.002456665,-0.002532959,-0.0028076172,168.10358,11.621199,-71.40216
1482277608820,-0.02376461,0.05327624,0.013768196,-0.005355835,-0.005218506,-0.0038757324,168.09503,11.614481,-71.40048
1482277608825,-0.018963814,0.0412845,-0.015050411,-0.0069274902,-0.008956909,-0.0049591064,168.08527,11.611921,-71.399284
