id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1,13608580954682,3.9100647E-5,-0.036096573,-0.20494604,-0.0019989014,-0.013534546,0.01071167,247.22003,-7.6184883,43.884888
2,13608747128065,0.006545067,-0.05006349,-0.12397337,-0.014709473,-0.01889038,0.015945435,247.22318,-7.614792,43.895264
3,13608752163465,0.04123211,-0.017497241,-0.056277275,-0.025772095,-0.006225586,0.016098022,247.2157,-7.601389,43.909122
4,13608757198866,0.049857616,0.028794408,-0.12121391,-0.025772095,-1.9836426E-4,0.015106201,247.21188,-7.589043,43.918816
5,13608762539442,0.056262493,0.04835695,-0.035233974,-0.022415161,0.0066375732,0.013916016,247.23499,-7.578061,43.935135
6,13608772152479,0.07449961,0.0346846,-0.0069150925,-0.015930176,0.00881958,0.011734009,247.2407,-7.572711,43.937965
7,13608777126844,0.06443167,-0.0026154518,0.030378342,-0.008331299,0.012145996,0.008544922,247.23624,-7.5652833,43.937477
8,13608782131727,0.02411604,0.051865578,0.036551,2.2888184E-4,0.017425537,0.0063323975,247.22728,-7.5664406,43.932644
9,13608787106092,0.053135395,0.06432694,0.06700611,0.0075683594,0.020584106,0.0032806396,247.2349,-7.5716906,43.92516
10,13608792446668,0.02726221,0.03499925,0.018606186,0.011581421,0.022598267,0.0032806396,247.2426,-7.5784297,43.917713
11,13608797115858,-0.033795357,0.017582953,0.048632145,0.018112183,0.0066375732,-9.918213E-4,247.23795,-7.5891595,43.904766
12,13608807064588,-0.03099823,2.6077032E-4,0.08106089,0.019088745,-0.0050354004,-8.8500977E-4,247.23228,-7.5936556,43.898857
13,13608812069471,-0.014473915,-0.031000853,0.11114931,0.018966675,-0.014038086,1.9836426E-4,247.22041,-7.5953426,43.895718
14,13608817074354,0.027552128,0.008762062,0.06108427,0.017684937,-0.01637268,0.0011444092,247.22,-7.601111,43.898594
15,13608822445448,-0.06511259,-0.015433669,0.122255325,0.01461792,-0.011184692,0.0010986328,247.1997,-7.603575,43.894646
