Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:04:54:4,1.6266956,0.78150713,0.26401854,0.0181427,-0.0036773682,0.0033874512
12/06/2016 23:04:54:4,0.17916584,0.100366384,0.16528893,-0.00982666,-0.033416748,-0.0055389404
12/06/2016 23:04:54:4,0.71255684,-1.5892062,-0.027687073,0.059143066,0.009613037,-0.03388977
12/06/2016 23:04:54:4,0.020553589,0.049963832,0.26721287,-0.036239624,0.031448364,0.015411377
12/06/2016 23:04:54:4,-0.152812,-0.13991848,-0.2669134,-0.009490967,0.010177612,0.005630493
12/06/2016 23:04:54:4,0.029266357,0.06436941,0.06869316,0.026626587,0.008605957,-0.0019836426
12/06/2016 23:04:54:4,0.03586197,0.057114214,0.07423401,-0.026733398,0.029464722,-0.008285522
12/06/2016 23:04:54:4,-0.07218933,-0.08098355,-0.0979867,0.0011138916,0.024230957,-0.0050354004
12/06/2016 23:04:54:4,0.050253868,-0.077471375,0.01656723,0.028060913,0.008743286,-0.01966858
12/06/2016 23:04:54:4,-0.08289814,-0.032191157,-0.079556465,0.0049591064,0.0061035156,0.0024108887
12/06/2016 23:04:54:4,-0.028528214,0.054067254,-0.057136536,-0.013427734,0.01777649,0.0030517578
12/06/2016 23:04:54:4,0.02076912,-0.0047346354,0.08324528,0.007965088,-0.023773193,-0.013076782
12/06/2016 23:04:54:4,-0.06124592,-0.032684237,-0.01773405,0.015335083,0.0143585205,-0.008071899
12/06/2016 23:04:54:4,0.0044898987,-0.059880257,0.07679844,0.017105103,-0.0016784668,-0.017501831
12/06/2016 23:04:54:4,-0.07866192,-0.0943436,-0.12292719,0.022247314,-0.0013275146,-0.013870239
12/06/2016 23:04:54:4,-0.055882454,0.015143633,-0.063284874,-0.0070343018,-0.0068969727,0.009719849
12/06/2016 23:04:54:4,-0.02764225,0.10675129,0.019846916,0.014221191,-0.008026123,-0.0015411377
12/06/2016 23:04:54:4,0.0058755875,0.11419141,-0.14042282,-0.025756836,-0.004638672,-0.011703491
12/06/2016 23:04:54:4,0.004426956,-0.05801037,-0.067163944,0.017944336,0.006790161,-0.0070495605
12/06/2016 23:04:54:4,-0.053959846,-0.13573268,0.06495237,0.008590698,0.00390625,0.005065918
12/06/2016 23:04:54:4,0.01142025,7.402599E-4,-0.04242277,-0.026397705,0.006362915,0.00920105
12/06/2016 23:04:54:4,0.06120491,0.08962977,0.0779624,-0.006668091,0.006790161,-0.002166748
12/06/2016 23:04:54:4,-0.012863159,-0.019666553,-0.014310837,0.003036499,-0.008163452,-0.0014038086
12/06/2016 23:04:54:4,-0.013749123,-0.061034888,0.01178503,-0.020629883,-0.017501831,0.004699707
12/06/2016 23:04:54:4,-0.05343151,-0.09523547,-0.095869064,-0.024673462,-0.012237549,0.0030822754
12/06/2016 23:04:54:4,-0.008372307,-0.030936897,-0.028730392,-0.052108765,-0.006134033,0.033416748
12/06/2016 23:04:54:4,0.01283741,0.1409164,0.10294533,0.0074768066,-0.02545166,0.0018157959
12/06/2016 23:04:54:4,0.0071172714,0.07799113,0.017456055,-0.009597778,0.0015869141,-0.0043640137
12/06/2016 23:04:54:4,-0.004846573,-0.14066544,0.14792204,0.006454468,-0.005569458,-0.007461548
12/06/2016 23:04:54:4,0.029764175,-0.08640471,0.16920233,-0.0096588135,0.010787964,0.004348755
12/06/2016 23:04:54:4,-0.02648449,0.037347794,-0.057363033,-0.022201538,-0.009185791,0.014755249
12/06/2016 23:04:54:4,0.069776535,0.03876096,0.083189964,-0.039276123,-0.03617859,0.0104522705
12/06/2016 23:04:54:4,0.1983366,-0.062188953,1.2404938,-0.13883972,-0.021530151,0.021072388
12/06/2016 23:04:54:4,0.058362007,0.11809814,0.08076668,0.030761719,0.04812622,-0.01928711
12/06/2016 23:04:54:4,0.04940319,-0.19075781,0.1902585,0.069000244,0.021621704,-0.02848816
12/06/2016 23:04:54:4,-0.025779724,0.081989735,-0.111207485,-0.015457153,0.022537231,-0.0022125244
12/06/2016 23:04:54:4,-0.019154549,0.056925386,-0.08334494,0.019729614,0.042114258,-0.0287323
12/06/2016 23:04:54:4,-0.0068979263,0.00222677,-0.038440228,-0.0065307617,0.025741577,-0.021499634
12/06/2016 23:04:54:4,-0.052257538,-0.004574865,-0.013754368,0.03186035,0.04095459,-0.016693115
12/06/2016 23:04:54:4,-4.1770935E-4,0.026400924,0.07687235,0.007736206,0.008224487,-0.014099121
12/06/2016 23:04:54:4,-0.064097404,-0.08904171,-0.055228233,0.0035858154,0.019485474,-0.019882202
