Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481653617828,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1022,563
1481653618310,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,288,720
1481653618811,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1027,974
1481653619227,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1073,727
1481653619702,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,275,574
1481653620173,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1044,882
1481653620553,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1416,741
1481653620995,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,359,877
1481653621445,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1355,888
1481653621905,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1463,587
1481653622380,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1051,895
1481653622863,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1446,582
1481653623338,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,333,874
1481653623848,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1033,996
1481653624331,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1073,568
1481653624848,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,239,568
1481653625307,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1333,766
1481653625808,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,302,710
1481653626216,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1320,892
1481653626683,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1058,747
1481653627142,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1065,890
1481653627601,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1064,713
1481653628084,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1046,1004
1481653628577,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1008,570
1481653629068,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1449,588
1481653629485,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1397,746
1481653629961,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,249,603
1481653630444,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,328,863
1481653630912,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1312,888
1481653631387,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,248,724
1481653631845,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1399,877
1481653632363,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1061,727
1481653632838,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,246,579
1481653633305,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1423,758
1481653633814,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,334,874
1481653634373,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1408,587
1481653634857,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1043,867
1481653635316,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,279,701
1481653635782,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1062,535
1481653636316,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1046,1003
1481653636817,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1043,702
1481653637259,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1378,886
1481653637751,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,257,559
1481653638219,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,349,876
1481653638744,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1028,564
1481653639245,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1030,999
1481653639746,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1508,574
1481653640247,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1046,875
1481653640723,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,294,734
1481653641207,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1458,722
