Timestamp,x,y,z,alpha,beta,gamma
1481653606064,-0.02602768,0.0037355423,0.16902518,0.03375244,-0.020248413,0.008102417
1481653606064,-0.039850235,0.021332324,0.1528449,0.03591919,-0.017181396,0.0064697266
1481653606064,-0.06268406,-0.0010738373,0.055563927,0.0335083,-0.013946533,0.006134033
1481653606064,0.005947113,0.023673296,0.011708021,0.027526855,-0.011642456,0.0033874512
1481653606065,0.01727295,0.038772106,-0.05449009,0.019195557,-0.009490967,1.5258789E-4
1481653606068,0.0027399063,0.03754008,-0.03293848,0.008712769,-0.010147095,-0.0021362305
1481653606073,-0.013852119,0.01796031,-0.023435354,-1.9836426E-4,-0.012176514,-0.0043029785
1481653606081,0.007203102,0.010709047,0.025561094,-0.0087890625,-0.010498047,-0.005493164
1481653606083,-0.028217316,-0.014868021,0.094730616,-0.016464233,-0.0063934326,-0.006576538
1481653606088,-0.0629549,-0.018754184,0.074022055,-0.021072388,-0.002090454,-0.0056915283
1481653606093,-0.0385561,-0.04350859,0.13341427,-0.023406982,-0.0017242432,-0.0056152344
1481653606098,-0.07069111,-0.093547344,0.12174606,-0.022583008,-0.0027160645,-0.0036315918
1481653606103,-0.102311134,-0.07960904,0.18751073,-0.02053833,-0.0027923584,-0.0015106201
1481653606110,-0.10768986,-0.012218475,0.17964387,-0.017349243,-0.0018005371,-3.3569336E-4
1481653606114,-0.117676735,0.0047661066,0.26562643,-0.0110321045,-7.171631E-4,-2.746582E-4
1481653606118,-0.10877609,-0.046554387,0.24962068,-0.0035095215,0.0024414063,-2.746582E-4
1481653606122,-0.109375,-0.0011587143,0.21058083,0.006164551,4.4250488E-4,0.0018310547
1481653606127,-0.06311512,-0.026979923,0.20735049,0.0116119385,-0.0038146973,0.0018615723
1481653606132,-0.062171936,-0.0104160905,0.14780879,0.018096924,-0.008132935,0.0029296875
1481653606137,-0.055651665,-0.024732232,0.1488061,0.02130127,-0.0059661865,0.0018615723
1481653606148,-0.04082203,-0.055330575,0.12061238,0.021255493,-5.493164E-4,7.4768066E-4
1481653606152,-0.00968647,-0.04550624,0.003969431,0.019058228,0.0059051514,-0.0024871826
1481653606158,0.009386063,0.030070603,0.020678043,0.0146484375,0.012313843,-0.005722046
1481653606163,0.028287888,0.0860585,-0.021264076,0.008148193,0.016433716,-0.008911133
1481653606167,0.028186798,0.09224337,-0.05547619,4.119873E-4,0.016479492,-0.011001587
1481653606173,0.032794,0.14791107,0.0047295094,-0.010253906,0.017501831,-0.012237549
