Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481369113128,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,999,603
1481369113643,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1044,706
1481369114092,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1441,585
1481369114641,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,304,891
1481369115107,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,271,733
1481369115614,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1415,870
1481369116088,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1445,726
1481369116612,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1053,876
1481369117144,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,256,579
1481369117709,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1022,1021
1481369118175,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1408,868
1481369118633,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1445,584
1481369119099,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1385,743
1481369119574,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,267,718
1481369120063,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1042,740
1481369120522,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1072,858
1481369121020,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,245,584
1481369121561,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1066,600
1481369122102,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,340,841
1481369122584,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1018,1017
1481369123091,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1092,713
1481369123549,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1446,748
1481369124089,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1051,878
1481369124639,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1465,573
1481369125138,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,223,572
1481369125628,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,268,706
1481369126186,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,312,891
1481369126685,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1388,861
1481369127201,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,968,1021
1481369127750,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1071,591
1481369128241,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1427,745
1481369128715,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1416,599
1481369129273,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1065,594
1481369129706,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,236,722
1481369130212,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1381,869
1481369130720,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,237,595
1481369131269,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,318,865
1481369131785,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1037,865
1481369132292,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1035,1012
1481369132751,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1096,738
1481369133241,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1486,573
1481369133733,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1347,735
1481369134216,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_4,233,719
1481369134807,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,311,873
1481369135324,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1034,740
1481369135815,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1376,879
1481369136322,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,242,589
1481369136906,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1022,588
1481369137422,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1020,1021
1481369137855,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_8,1047,854
1481369138347,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_2,1063,572
1481369138863,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_7,307,825
1481369139362,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_0,1027,997
1481369139838,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_1,244,570
1481369140320,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_5,1013,724
1481369140794,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_9,1373,845
1481369141262,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_6,1404,740
1481369141744,0.0,0.0,0.0,0.0,0.0,0.0,KEYCODE_3,1426,560
