Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481470220104,0.11204624,0.12798601,-0.42053747,-0.0211792,-0.016448975,-0.014312744,null,0,0
1481470220111,0.07442665,0.10334882,-0.3538084,-0.03996277,-0.004196167,-0.018508911,null,0,0
1481470220117,0.09388733,0.1147871,-0.41615438,-0.051956177,0.012374878,-0.021621704,null,0,0
1481470220122,0.10165882,0.08202675,-0.6329832,-0.054901123,0.023025513,-0.023498535,null,0,0
1481470220127,0.10709286,0.07800552,-0.79886675,-0.05458069,0.01939392,-0.022262573,null,0,0
1481470220132,0.09119415,0.104296416,-0.7569766,-0.05039978,-0.002456665,-0.019226074,null,0,0
1481470220137,0.070384026,0.19763935,-0.7733712,-0.047286987,-0.032196045,-0.018447876,null,0,0
1481470220142,0.023626328,0.23555031,-0.6252618,-0.04536438,-0.061676025,-0.021865845,null,0,0
1481470220147,-0.018194199,0.17491907,-0.48598385,-0.046722412,-0.084243774,-0.028274536,null,0,0
1481470220152,-0.0035552979,0.062054217,-0.10708046,-0.05177307,-0.09272766,-0.034622192,null,0,0
1481470220157,-0.021956444,6.727576E-4,-0.13014269,-0.052520752,-0.0847168,-0.039794922,null,0,0
1481470220162,-0.046774864,-0.005706042,-0.19670391,-0.04798889,-0.06782532,-0.04273987,null,0,0
1481470220167,-0.07317829,-0.028431952,-0.12349224,-0.03942871,-0.054595947,-0.041748047,null,0,0
1481470220172,-0.031092644,-0.02060777,-0.116695404,-0.029754639,-0.051330566,-0.04168701,null,0,0
1481470220177,-0.017721176,-0.04126221,-0.135643,-0.019485474,-0.046951294,-0.04067993,null,0,0
1481470220182,0.021303177,0.03656569,-0.07916689,-0.016448975,-0.04031372,-0.040725708,null,0,0
1481470220187,-0.045498848,0.028837651,-0.027936459,-0.016555786,-0.029266357,-0.041793823,null,0,0
1481470220192,0.001534462,-0.0021274388,0.03720951,-0.018692017,-0.009643555,-0.04270935,null,0,0
1481470220197,0.09757328,0.037724733,-6.966591E-4,-0.020553589,0.01802063,-0.040542603,null,0,0
1481470220202,0.15530586,0.0955649,-0.16800594,-0.016143799,0.046035767,-0.03729248,null,0,0
1481470220207,0.15637875,0.1921032,-0.3507247,-0.008666992,0.054840088,-0.033111572,null,0,0
1481470220212,0.075406075,0.08761957,-0.36901665,-0.0012359619,0.04486084,-0.031143188,null,0,0
1481470220217,0.002366066,0.09712073,-0.38774586,0.004989624,0.026931763,-0.033203125,null,0,0
1481470220224,0.009764671,0.15571973,-0.36950684,0.0071411133,0.01210022,-0.03315735,null,0,0
1481470220227,0.019079208,0.17353398,-0.40857458,0.010314941,-0.001876831,-0.032165527,null,0,0
1481470220232,-0.028411865,0.1465047,-0.23197222,0.012374878,-0.01852417,-0.033203125,null,0,0
1481470220237,0.009011269,0.07527995,-0.14285517,0.0113220215,-0.0236969,-0.03427124,null,0,0
1481470220243,0.043556213,0.11074576,-0.16067076,0.011413574,-0.019348145,-0.034210205,null,0,0
1481470220248,0.08951759,0.17148721,-0.26724768,0.015716553,-0.011947632,-0.03199768,null,0,0
1481470220253,0.13971806,0.16541806,-0.25476885,0.020980835,-0.0077667236,-0.026672363,null,0,0
1481470220258,0.111824036,0.17788565,-0.35516214,0.024002075,-0.0077667236,-0.02027893,null,0,0
1481470220263,0.030283928,0.19470817,-0.27340364,0.016494751,-0.0077819824,-0.014968872,null,0,0
1481470220268,-0.03140831,0.18783629,-0.15749502,0.003616333,-0.008712769,-0.009674072,null,0,0
1481470220273,-0.068707466,0.20006475,0.03001976,-0.014526367,0.002166748,-0.007507324,null,0,0
1481470220278,-0.12157822,0.1372098,0.11264086,-0.0315094,0.028793335,-0.0032653809,null,0,0
1481470220283,-0.06489754,0.033046693,0.1676054,-0.048568726,0.07052612,-6.1035156E-5,null,0,0
1481470220288,-7.7819824E-4,-0.10025209,0.12064886,-0.060272217,0.125,0.0042266846,null,0,0
1481470220293,-0.056137085,-0.25551316,-0.03144169,-0.06448364,0.17938232,0.009567261,null,0,0
1481470220297,0.0055007935,-0.26341024,-0.26185322,-0.059173584,0.21974182,0.015930176,null,0,0
1481470220302,-0.008317947,-0.24351168,-0.580245,-0.047424316,0.23042297,0.022338867,null,0,0
1481470220307,0.1519823,-0.07618964,-0.6788473,-0.03353882,0.20799255,0.026611328,null,0,0
1481470220312,0.22972012,-0.017062426,-0.6673026,-0.018676758,0.16339111,0.024490356,null,0,0
1481470220318,0.2113781,0.03176728,-0.6275983,-0.005859375,0.113220215,0.022354126,null,0,0
1481470220323,0.2064333,0.054081917,-0.42090082,0.001663208,0.07789612,0.018096924,null,0,0
1481470220327,0.1421566,0.02681613,-0.30243635,6.4086914E-4,0.061843872,0.014907837,null,0,0
1481470220333,0.16088009,0.042388737,-0.14316559,-0.0035858154,0.067977905,0.013809204,null,0,0
1481470220338,0.14914608,-0.005537212,-0.062633514,-0.012084961,0.09233093,0.010635376,null,0,0
1481470220342,0.14523411,-0.024406314,-0.13945389,-0.014282227,0.123046875,0.0064086914,null,0,0
1481470220347,0.13724613,-0.026519269,-0.44507217,-0.010131836,0.14666748,0.0063171387,null,0,0
1481470220353,0.15316391,-0.019452244,-0.66692543,4.4250488E-4,0.14710999,0.010513306,null,0,0
1481470220358,0.21109104,0.055457234,-0.887053,0.01210022,0.124176025,0.012680054,null,0,0
1481470220363,0.26533222,0.098650664,-0.93695927,0.021759033,0.08087158,0.014816284,null,0,0
1481470220368,0.23783398,0.10579735,-0.84976196,0.030288696,0.022827148,0.015899658,null,0,0
1481470220373,0.23296833,0.06566164,-0.6011648,0.031570435,-0.03175354,0.014907837,null,0,0
1481470220378,0.20835495,0.0024039745,-0.41604805,0.02746582,-0.06758118,0.015899658,null,0,0
1481470220383,0.14109707,0.010699511,-0.31864834,0.01802063,-0.07797241,0.011795044,null,0,0
1481470220388,0.10988712,-0.03728345,-0.2150917,0.0063934326,-0.06591797,0.009613037,null,0,0
1481470220393,0.0016088486,-0.008981794,-0.18946743,-0.006378174,-0.041778564,0.006439209,null,0,0
1481470220398,-0.0060424805,0.045377284,-0.12516451,-0.01713562,-0.013092041,0.0032348633,null,0,0
1481470220403,0.01051712,-0.011248291,-0.10272646,-0.028778076,0.010467529,0.002090454,null,0,0
1481470220408,0.013209343,-0.055285364,-0.16210699,-0.037734985,0.0418396,-9.1552734E-5,null,0,0
1481470220414,-0.04274273,0.01913035,-0.19194412,-0.040863037,0.04446411,0.001953125,null,0,0
1481470220419,-0.081492424,0.11173907,-0.1857686,-0.04611206,0.043548584,0.0040893555,null,0,0
1481470220424,-0.14878464,0.094732225,0.19299793,-0.052459717,0.05569458,0.007232666,null,0,0
1481470220433,-0.12938213,0.023845613,0.17333126,-0.05479431,0.08358765,0.011428833,null,0,0
1481470220440,-0.07174206,0.031221718,-0.13727093,-0.054901123,0.11746216,0.017730713,null,0,0
1481470220443,0.007249832,-0.034939438,-0.31642103,-0.05088806,0.14041138,0.024093628,null,0,0
1481470220448,0.06932926,-0.023054808,-0.498137,-0.04360962,0.14778137,0.02949524,null,0,0
1481470220453,0.14264107,-0.068370104,-0.70907307,-0.03312683,0.1391449,0.035842896,null,0,0
1481470220459,0.2054863,-0.05475977,-0.6477351,-0.024505615,0.11062622,0.040222168,null,0,0
1481470220464,0.22218895,-0.11711237,-0.60751486,-0.015960693,0.06977844,0.042495728,null,0,0
1481470220469,0.20018196,-0.08473244,-0.4655919,-0.011428833,0.033309937,0.042633057,null,0,0
1481470220474,0.14703369,-0.07153651,-0.32392836,-0.010131836,0.007904053,0.041656494,null,0,0
1481470220480,0.15298653,-0.107928485,-0.31642962,-0.012023926,-0.002746582,0.038619995,null,0,0
